Ganho Percentual,1ºRGI,2ºRGI,3ºRGI,4ºRGI,5ºRGI,6ºRGI,7ºRGI,8ºRGI,9ºRGI
2018 -> 2019,110.59,110.42,251.88,113.38,101.11,109.75,176.63,126.47,112.22
2019 -> 2020,102.07,93.61,141.72,98.09,103.87,84.21,98.97,120.17,108.20
